time,one,tow
2024-06-24 21:08:25.011658,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:25.230446,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:25.451791,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:25.621042,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:25.808634,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:25.997455,-0.2700000000000001,0.0700000000000002
2024-06-24 21:08:26.199137,-0.2700000000000001,0.0700000000000002
2024-06-24 21:08:26.433546,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:26.621026,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:26.824156,-0.2700000000000001,0.0700000000000002
2024-06-24 21:08:27.027299,-0.2600000000000001,0.09
2024-06-24 21:08:27.308550,-0.2800000000000001,0.09
2024-06-24 21:08:27.527270,-0.2800000000000001,0.09
2024-06-24 21:08:27.683516,-0.2800000000000001,0.09
2024-06-24 21:08:27.917977,-0.2800000000000001,0.09
2024-06-24 21:08:28.105453,-0.2800000000000001,0.09
2024-06-24 21:08:28.309694,-0.2800000000000001,0.09
2024-06-24 21:08:28.527278,-0.2800000000000001,0.09
2024-06-24 21:08:28.714860,-0.2800000000000001,0.09
2024-06-24 21:08:28.949238,-0.2800000000000001,0.09
2024-06-24 21:08:29.167901,-0.2800000000000001,0.09
2024-06-24 21:08:29.370997,-0.2800000000000001,0.09
2024-06-24 21:08:29.605427,-0.2800000000000001,0.09
2024-06-24 21:08:29.792896,-0.2800000000000001,0.09
2024-06-24 21:08:29.980407,-0.2800000000000001,0.09
2024-06-24 21:08:30.152319,-0.2800000000000001,0.09
2024-06-24 21:08:30.386634,-0.2800000000000001,0.09
2024-06-24 21:08:30.605496,-0.2800000000000001,0.09
2024-06-24 21:08:30.855419,-0.2800000000000001,0.09
2024-06-24 21:08:31.074162,-0.2800000000000001,0.09
2024-06-24 21:08:31.230405,-0.2600000000000001,0.07
2024-06-24 21:08:31.449166,-0.2600000000000001,0.07
2024-06-24 21:08:31.683547,-0.2600000000000001,0.07
2024-06-24 21:08:31.902279,-0.2600000000000001,0.07
2024-06-24 21:08:32.170033,-0.2600000000000001,0.07
2024-06-24 21:08:32.418194,-0.2600000000000001,0.07
2024-06-24 21:08:32.621041,-0.2600000000000001,0.07
2024-06-24 21:08:32.839768,-0.2600000000000001,0.07
2024-06-24 21:08:33.089800,-0.2600000000000001,0.07
2024-06-24 21:08:33.308545,-0.2600000000000001,0.07
2024-06-24 21:08:33.552315,-0.2600000000000001,0.07
2024-06-24 21:08:33.808622,-0.2600000000000001,0.07
2024-06-24 21:08:34.011661,-0.2600000000000001,0.07
2024-06-24 21:08:34.199429,-0.2600000000000001,0.07
2024-06-24 21:08:34.402314,-0.2600000000000001,0.07
2024-06-24 21:08:34.621031,-0.2600000000000001,0.07
2024-06-24 21:08:34.824178,-0.2700000000000001,0.08
2024-06-24 21:08:35.089822,-0.2700000000000001,0.08
2024-06-24 21:08:35.292916,-0.2800000000000001,0.09
2024-06-24 21:08:35.511824,-0.2700000000000001,0.08
2024-06-24 21:08:35.699155,-0.2700000000000001,0.08
2024-06-24 21:08:35.887081,-0.2700000000000001,0.08
2024-06-24 21:08:36.121032,-0.2700000000000001,0.08
2024-06-24 21:08:36.371200,-0.2700000000000001,0.08
2024-06-24 21:08:36.595643,-0.2700000000000001,0.08
2024-06-24 21:08:36.783126,-0.2700000000000001,0.08
2024-06-24 21:08:36.970648,-0.2700000000000001,0.08
2024-06-24 21:08:37.174273,-0.2700000000000001,0.08
2024-06-24 21:08:37.376889,-0.2700000000000001,0.08
2024-06-24 21:08:37.611401,-0.2700000000000001,0.08
2024-06-24 21:08:37.876887,-0.2600000000000001,0.07
2024-06-24 21:08:38.080061,-0.2600000000000001,0.07
2024-06-24 21:08:38.298869,-0.2600000000000001,0.07
2024-06-24 21:08:38.517530,-0.2600000000000001,0.07
2024-06-24 21:08:38.751891,-0.2600000000000001,0.07
2024-06-24 21:08:38.970642,-0.2600000000000001,0.07
2024-06-24 21:08:39.189426,-0.2600000000000001,0.07
2024-06-24 21:08:39.392493,-0.2600000000000001,0.07
2024-06-24 21:08:39.580024,-0.2700000000000001,0.08
2024-06-24 21:08:39.814405,-0.2700000000000001,0.08
2024-06-24 21:08:40.017519,-0.2700000000000001,0.08
2024-06-24 21:08:40.283168,-0.2700000000000001,0.08
2024-06-24 21:08:40.486266,-0.2700000000000001,0.08
2024-06-24 21:08:40.689370,-0.2600000000000001,0.07
2024-06-24 21:08:40.908136,-0.2600000000000001,0.07
2024-06-24 21:08:41.126934,-0.2600000000000001,0.07
2024-06-24 21:08:41.314423,-0.2600000000000001,0.07
2024-06-24 21:08:41.502974,-0.2600000000000001,0.07
2024-06-24 21:08:41.705002,-0.2600000000000001,0.07
2024-06-24 21:08:41.939426,-0.2600000000000001,0.07
2024-06-24 21:08:42.142543,-0.2600000000000001,0.07
2024-06-24 21:08:42.351784,-0.2500000000000001,0.06
2024-06-24 21:08:42.595647,-0.2500000000000001,0.06
2024-06-24 21:08:42.814391,-0.2500000000000001,0.06
2024-06-24 21:08:43.017527,-0.2500000000000001,0.06
2024-06-24 21:08:43.267505,-0.2500000000000001,0.06
2024-06-24 21:08:43.486251,-0.2500000000000001,0.06
2024-06-24 21:08:43.689374,-0.2500000000000001,0.06
2024-06-24 21:08:43.908157,-0.2500000000000001,0.06
2024-06-24 21:08:44.111269,-0.2500000000000001,0.06
2024-06-24 21:08:44.329995,-0.2500000000000001,0.06
2024-06-24 21:08:44.579985,-0.2500000000000001,0.06
2024-06-24 21:08:44.814411,-0.2600000000000001,0.08
2024-06-24 21:08:45.051827,-0.2700000000000001,0.07
2024-06-24 21:08:45.283166,-0.2700000000000001,0.06
2024-06-24 21:08:45.470606,-0.2700000000000001,0.06
2024-06-24 21:08:45.705043,-0.2700000000000001,0.06
2024-06-24 21:08:45.892491,-0.2700000000000001,0.06
2024-06-24 21:08:46.111311,-0.2700000000000001,0.06
2024-06-24 21:08:46.314377,-0.2700000000000001,0.06
2024-06-24 21:08:46.517497,-0.2700000000000001,0.06
2024-06-24 21:08:46.720643,-0.2700000000000001,0.06
2024-06-24 21:08:46.908126,-0.2700000000000001,0.07
2024-06-24 21:08:47.126911,-0.2700000000000001,0.07
2024-06-24 21:08:47.351808,-0.2700000000000001,0.07
2024-06-24 21:08:47.533126,-0.2700000000000001,0.07
2024-06-24 21:08:47.751910,-0.2700000000000001,0.07
2024-06-24 21:08:47.908169,-0.2700000000000001,0.07
2024-06-24 21:08:48.111245,-0.2700000000000001,0.07
2024-06-24 21:08:48.314437,-0.2700000000000001,0.07
2024-06-24 21:08:48.533121,-0.2700000000000001,0.07
2024-06-24 21:08:48.705030,-0.2700000000000001,0.07
2024-06-24 21:08:48.908153,-0.2700000000000001,0.07
2024-06-24 21:08:49.152492,-0.2700000000000001,0.07
2024-06-24 21:08:49.376913,-0.2700000000000001,0.07
2024-06-24 21:08:49.626899,-0.2700000000000001,0.07
2024-06-24 21:08:49.830057,-0.2700000000000001,0.08
2024-06-24 21:08:50.080034,-0.2800000000000001,0.08
2024-06-24 21:08:50.314388,-0.2800000000000001,0.08
2024-06-24 21:08:50.552342,-0.2800000000000001,0.08
2024-06-24 21:08:50.767582,-0.2800000000000001,0.08
2024-06-24 21:08:51.052278,-0.2800000000000001,0.08
2024-06-24 21:08:51.283771,-0.2800000000000001,0.08
2024-06-24 21:08:51.486297,-0.2800000000000001,0.08
2024-06-24 21:08:51.689412,-0.2800000000000001,0.08
2024-06-24 21:08:51.908139,-0.2800000000000001,0.08
2024-06-24 21:08:52.151797,-0.2800000000000001,0.08
2024-06-24 21:08:52.330022,-0.2800000000000001,0.08
2024-06-24 21:08:52.533200,-0.2800000000000001,0.08
2024-06-24 21:08:52.705009,-0.2800000000000001,0.08
2024-06-24 21:08:52.892505,-0.2800000000000001,0.08
2024-06-24 21:08:53.095635,-0.2800000000000001,0.08
2024-06-24 21:08:53.267598,-0.2800000000000001,0.08
2024-06-24 21:08:53.455068,-0.2700000000000001,0.08
2024-06-24 21:08:53.666024,-0.2800000000000001,0.08
2024-06-24 21:08:53.892499,-0.2800000000000001,0.08
2024-06-24 21:08:54.111258,-0.2800000000000001,0.08
2024-06-24 21:08:54.377619,-0.2800000000000001,0.08
2024-06-24 21:08:54.580055,-0.2800000000000001,0.08
2024-06-24 21:08:54.798789,-0.2700000000000001,0.07
2024-06-24 21:08:55.051858,-0.2700000000000001,0.07
2024-06-24 21:08:55.220666,-0.2700000000000001,0.07
2024-06-24 21:08:55.439441,-0.2700000000000001,0.07
2024-06-24 21:08:55.658557,-0.2700000000000001,0.08
2024-06-24 21:08:55.892628,-0.2600000000000001,0.06
2024-06-24 21:08:56.111264,-0.2600000000000001,0.06
2024-06-24 21:08:56.351847,-0.2600000000000001,0.06
2024-06-24 21:08:56.533143,-0.2600000000000001,0.06
2024-06-24 21:08:56.783176,-0.2600000000000001,0.06
2024-06-24 21:08:57.017519,-0.2600000000000001,0.06
2024-06-24 21:08:57.236711,-0.2600000000000001,0.06
2024-06-24 21:08:57.470628,-0.2600000000000001,0.06
2024-06-24 21:08:57.673778,-0.2600000000000001,0.06
2024-06-24 21:08:57.892525,-0.2600000000000001,0.06
2024-06-24 21:08:58.111254,-0.2600000000000001,0.06
2024-06-24 21:08:58.298765,-0.2600000000000001,0.06
2024-06-24 21:08:58.501891,-0.2600000000000001,0.06
2024-06-24 21:08:58.642570,-0.2700000000000001,0.07
2024-06-24 21:08:58.830051,-0.2700000000000001,0.07
2024-06-24 21:08:59.033227,-0.2700000000000001,0.07
2024-06-24 21:08:59.253522,-0.2700000000000001,0.07
2024-06-24 21:08:59.455375,-0.2700000000000001,0.07
2024-06-24 21:08:59.673803,-0.2700000000000001,0.07
2024-06-24 21:08:59.853482,-0.2700000000000001,0.08
2024-06-24 21:09:00.048757,-0.2600000000000001,0.07
2024-06-24 21:09:00.283854,-0.2600000000000001,0.06
2024-06-24 21:09:00.487450,-0.2500000000000001,0.06
2024-06-24 21:09:00.720664,-0.2600000000000001,0.07
2024-06-24 21:09:00.923808,-0.2600000000000001,0.07
2024-06-24 21:09:01.111339,-0.2500000000000001,0.06
2024-06-24 21:09:01.376910,-0.2600000000000001,0.07
